intent_id,intent_name,system_instruction,tool_name,required_args,optional_args,default_args,expects_product_A,expects_platforms,expects_brand,expects_category,output_type,primary_grouping,primary_metric,chart_type,priority
resolve_product,"Phân loại sản phẩm","Dùng intent này khi người dùng chỉ hỏi về thông tin phân loại sản phẩm (category, brand) hoặc cần xác định category để chuẩn bị cho truy vấn tiếp theo.","resolve_product","['A']","['catalog_categories','brand_list','hint']","{}",true,false,false,false,classification,none,none,none,high
search_products,"Liệt kê sản phẩm","Dùng intent này khi người dùng muốn xem danh sách sản phẩm/SKU phù hợp với một truy vấn sản phẩm, có thể có yêu cầu lọc theo sàn TMĐT hoặc số lượng đánh giá tối thiểu.","search_products_hybrid","['A']","['platforms','min_reviews','max_rows','enforce_phrase','use_brand_lock']","{'min_reviews': 0, 'max_rows': 50, 'enforce_phrase': True, 'use_brand_lock': True}",true,true,false,false,list,none,sku,table,high
price_summary,"Tóm tắt / so sánh giá","Dùng intent này khi người dùng hỏi về mức giá, khoảng giá hoặc so sánh giá (min/median/mean/max) của một nhóm sản phẩm, có thể so sánh giữa các sàn.","describe_price","['A']","['platforms','min_reviews','by_platform','use_brand_lock']","{'min_reviews': 0, 'by_platform': False, 'use_brand_lock': True}",true,true,false,false,aggregation,platform,price,"box|bar",high
rating_distribution,"Phân bố rating","Dùng intent này khi người dùng muốn xem phân bố điểm đánh giá (rating) của sản phẩm để hiểu chất lượng/mức độ hài lòng, có thể theo từng brand hoặc tổng thể.","rating_distribution","['A']","['platforms','bins','group_by_brand','min_reviews','use_brand_lock']","{'bins': 20, 'group_by_brand': False, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,histogram,"brand|overall",rating,histogram,medium
sold_distribution,"Phân bố sold / volume bán","Dùng intent này khi người dùng muốn xem phân bố lượng bán (sold) của sản phẩm, các phân khúc volume bán và thường muốn so sánh giữa các sàn.","sold_distribution","['A']","['platforms','bins','min_reviews','use_brand_lock']","{'bins': [0,10,50,100,500,1000,5000,10000], 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,histogram,platform,sold,histogram,medium
category_split,"Phân bổ theo danh mục con","Dùng intent này khi người dùng muốn xem sản phẩm đang phân bổ vào các danh mục/danh mục con nào và số lượng sản phẩm ở mỗi nhóm.","category_count_plot","['A']","['platforms','sublevel_field','top_k','min_reviews','use_brand_lock']","{'sublevel_field': 'categories', 'top_k': null, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,true,aggregation,category,product_count,bar,medium
brand_share,"Thị phần brand","Dùng intent này khi người dùng muốn xem thị phần các thương hiệu (brand share) cho một nhóm sản phẩm","brand_share","['A']","['platforms','metric','normalize','min_reviews','use_brand_lock']","{'metric': 'sku', 'normalize': True, 'min_reviews': 0, 'use_brand_lock': False}",true,true,false,false,aggregation,"platform+brand","sku|revenue_est",stacked-bar,high
top_sellers,"Top seller","Dùng intent này khi người dùng muốn xem top nhà bán hàng (seller) cho một nhóm sản phẩm, xếp hạng theo số lượng sản phẩm hoặc tổng sold.","top_sellers","['A']","['platforms','by','top_k','min_reviews','use_brand_lock']","{'by': 'product_count', 'top_k': 20, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,false,ranking,"platform+seller","product_count|sold",bar,high
top_brands,"Top brand","Dùng intent này khi người dùng muốn xem top thương hiệu (brand) cho một nhóm sản phẩm, xếp hạng theo doanh thu ước tính hoặc tổng sold.","top_brands","['A']","['platforms','by','top_k','min_reviews','use_brand_lock']","{'by': 'revenue_est', 'top_k': 20, 'min_reviews': 0, 'use_brand_lock': False}",true,true,false,false,ranking,"platform+brand","revenue_est|sold",bar,high
seller_diversity,"Đa dạng danh mục của seller","Dùng intent này khi người dùng muốn đánh giá mức độ đa dạng danh mục sản phẩm mà mỗi seller đang bán (bán nhiều ngành hàng hay tập trung vào vài ngành).","seller_diversity_index","['A']","['platforms','min_products','min_reviews','use_brand_lock']","{'min_products': 5, 'min_reviews': 0, 'use_brand_lock': True}",true,true,false,true,aggregation,"platform+seller",diversity_index,table,medium
